id,created_at,price,area,street,ward,district,post_date,num_bedroom,num_diningroom,num_kitchen,num_toilet,num_floor,current_floor,direction,street_width
143,2024-05-12T07:18:25.385019+00:00,4.6,25,Mai Dịch,Mai Dịch,Cầu Giấy,2024-03-29 00:00:00,0,0,0,0,0,0,0,0
144,2024-05-12T07:18:30.976446+00:00,3.8,30,Liên Xá,Tân Triều,Thanh Trì,2024-03-22 00:00:00,0,0,0,0,0,0,0,0
145,2024-05-12T07:18:37.083093+00:00,6.6,30,Nguyễn Văn Huyên,Quan Hoa,Cầu Giấy,2024-03-29 00:00:00,0,1,1,0,0,0,0,0
146,2024-05-12T07:18:42.399264+00:00,5.2,30,Tân Mỹ,Mỹ Đình 2,Nam Từ Liêm,2024-03-29 00:00:00,0,0,1,0,0,0,0,0
147,2024-05-12T07:18:47.442176+00:00,5.0,30,"KĐT Mễ Trì Thượng, Mễ Trì",Mễ Trì,Nam Từ Liêm,2024-03-29 00:00:00,0,0,1,0,0,0,0,0
148,2024-05-12T07:18:53.170281+00:00,5.3,25,Láng,Thịnh Quang,Đống Đa,2024-04-01 00:00:00,0,0,1,0,0,0,0,0
149,2024-05-12T07:18:58.553743+00:00,2.3,20,Đồng Nhân,Đồng Nhân,Hai Bà Trưng,2024-04-02 00:00:00,0,0,1,1,0,0,0,0
150,2024-05-12T07:19:03.887294+00:00,1.5,5,Tây Sơn,Ngã Tư Sở,Đống Đa,2024-04-03 00:00:00,0,0,0,0,0,0,0,0
151,2024-05-12T07:19:07.039675+00:00,4.2,30,An Dương Vương,Phú Thượng,Tây Hồ,2024-03-29 00:00:00,0,1,1,0,0,0,0,0
152,2024-05-12T07:19:11.890932+00:00,3.0,18,Lạc Long Quân,Bưởi,Tây Hồ,2024-03-30 00:00:00,0,0,0,1,0,4,0,0
153,2024-05-12T07:19:17.192661+00:00,2.9,25,"KĐT Mễ Trì Thượng, Mễ Trì",Mễ Trì,Nam Từ Liêm,2024-04-01 00:00:00,1,0,1,1,0,0,0,50
154,2024-05-12T07:19:21.61725+00:00,5.5,35,Đường Trung Quan,Mỹ Đình 2,Nam Từ Liêm,2024-03-29 00:00:00,0,1,1,0,0,0,0,0
155,2024-05-12T07:19:26.539809+00:00,3.8,25,An Dương Vương,Phú Thượng,Tây Hồ,2024-03-29 00:00:00,0,1,1,0,0,0,0,0
156,2024-05-12T07:19:33.296963+00:00,3.8,25,Phan Trọng Tuệ,Thanh Liệt,Thanh Trì,2024-04-24 00:00:00,0,0,0,7,0,0,0,0
157,2024-05-12T07:19:39.384818+00:00,4.5,22,Quan Hoa,Quan Hoa,Cầu Giấy,2024-05-05 00:00:00,0,0,0,0,0,0,0,0
158,2024-05-12T07:19:44.712715+00:00,5.2,35,Vũ Tông Phan,Khương Đình,Thanh Xuân,2024-05-08 00:00:00,0,0,1,0,0,0,0,0
159,2024-05-12T07:19:50.698519+00:00,5.2,35,"KĐT Mễ Trì Thượng, Mễ Trì",Mễ Trì,Nam Từ Liêm,2024-04-28 00:00:00,1,0,1,1,0,0,0,0
160,2024-05-12T07:19:56.738717+00:00,5.0,35,Định Công Thượng,Khương Đình,Thanh Xuân,2024-05-08 00:00:00,0,0,1,0,0,0,0,0
161,2024-05-12T07:20:02.237017+00:00,5.5,30,Chính Kinh,Thượng Đình,Thanh Xuân,2024-05-08 00:00:00,0,0,1,0,0,0,0,0
162,2024-05-12T07:20:07.025045+00:00,7.1,35,Cự Lộc,Thượng Đình,Thanh Xuân,2024-05-08 00:00:00,0,0,1,1,0,0,0,0
